# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct4
翡翠台https://cdn.163189.xyz/live/fct4k/stream.m3u8
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct3
翡翠台,https://cdn2.163189.xyz/live/fct/stream.m3u8  
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台,https://stream1.freetv.fun/ba009d94229ed40a5d9289178463fba7aa31fb0622f8ab2d66c01147828743ab.m3u8
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct
凤凰中文,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fhzw2
凤凰中文,http://158.178.205.137:6788/aktv.php?m3u8=null-3
凤凰中文,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fhzw
凤凰中文,http://120.198.96.50:9901/tsfile/live/1103_1.m3u8?key=txiptv&playlive=0&authid=0
凤凰资讯,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fhzx2
凤凰资讯,http://158.178.205.137:6788/aktv.php?m3u8=null-4
凤凰资讯,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fhzx
无线新闻,http://158.178.205.137:6788/aktv.php?m3u8=null-1
凤凰香港,http://158.178.205.137:6788/aktv.php?m3u8=null-5
明珠台,http://158.178.205.137:6788/aktv.php?m3u8=null-2
明珠台,http://120.198.96.50:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
明珠台,http://huangtong-com.cn:9902/tsfile/live/1009_1.m3u8
广东体育,http://120.198.101.106:9901/tsfile/live/1012_1.m3u8?key=txiptv
广东体育,http://218.15.183.23:9901/tsfile/live/23012_1.m3u8
广东体育,http://183.237.95.108:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=0&authid=0
广东体育,http://14.212.185.235:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://219.137.202.184:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0

纯享4K,http://222.68.135.70:5555/TVOD/1000000004000011651/ystenlive/index.m3u8?ace
CCTV16 奥林匹克4K,http://222.68.135.70:5555/TVOD/5000000008000023254/bestzb/index.m3u8?ace
SiTV欢笑剧场4K,http://222.68.135.70:5555/TVOD/5000000007000010001/bestzb/index.m3u8?ace
华数4K,http://222.68.135.70:5555/TVOD/6000000003000004748/wasusyt/index.m3u8?ace
华数4K,http://222.68.135.70:5555/TVOD/2000000004000000014/hnbblive/index.m3u8?ace
CCTV1 综合,http://222.68.135.70:5555/TVOD/6000000001000029752/wasusyt/index.m3u8?ace
CCTV1 综合,http://222.68.135.70:5555/TVOD/1000000001000018602/ystenlive/index.m3u8?ace
CCTV1 综合,http://222.68.135.70:5555/TVOD/5000000004000002226/bestzb/index.m3u8?ace
CCTV1 综合,http://222.68.135.70:5555/TVOD/1000000005000265001/ystenlive/index.m3u8?ace
CCTV1 综合,http://222.68.135.70:5555/TVOD/5000000010000030810/bestzb/index.m3u8?ace
CCTV1 综合,http://222.68.135.70:5555/TVOD/1000000001000021973/ystenlive/index.m3u8?ace
CCTV2 财经,http://222.68.135.70:5555/TVOD/6000000001000014161/wasusyt/index.m3u8?ace
CCTV2 财经,http://222.68.135.70:5555/TVOD/1000000001000023315/ystenlive/index.m3u8?ace
CCTV2 财经,http://222.68.135.70:5555/TVOD/5000000011000031101/bestzb/index.m3u8?ace
CCTV2 财经,http://222.68.135.70:5555/TVOD/1000000005000265002/ystenlive/index.m3u8?ace
CCTV2 财经,http://222.68.135.70:5555/TVOD/1000000001000012442/ystenlive/index.m3u8?ace
CCTV3 综艺,http://222.68.135.70:5555/TVOD/6000000001000022313/wasusyt/index.m3u8?ace
CCTV3 综艺,http://222.68.135.70:5555/TVOD/1000000001000013682/ystenlive/index.m3u8?ace
CCTV3 综艺,http://222.68.135.70:5555/TVOD/5000000004000008883/bestzb/index.m3u8?ace
CCTV3 综艺,http://222.68.135.70:5555/TVOD/1000000005000265003/ystenlive/index.m3u8?ace
CCTV3 综艺,http://222.68.135.70:5555/TVOD/5000000002000020548/bestzb/index.m3u8?ace
CCTV3 综艺,http://222.68.135.70:5555/TVOD/1000000001000011218/ystenlive/index.m3u8?ace
CCTV4 中文国际,http://222.68.135.70:5555/TVOD/5000000011000031102/bestzb/index.m3u8?ace
CCTV4 中文国际,http://222.68.135.70:5555/TVOD/1000000005000265004/ystenlive/index.m3u8?ace
